duration	iti	trial_type	stim_file
14	14	visual/auditory	audio/Coy_Koi.wav
14	14	motor/auditory	audio/Breaking_Bollywood.wav
14	14	visual	
14	14	motor	
14	14	visual	
14	14	motor/auditory	audio/Stereotype_News.wav
14	14	visual/auditory	audio/Breaking_Bollywood.wav
14	14	motor	
14	14	visual	
14	14	motor	
14	14	visual/auditory	audio/Bollywood_Groove.wav
14	14	motor/auditory	audio/Breaking_Bollywood.wav
14	14	motor	
14	14	visual	
14	14	visual/auditory	audio/Stereotype_News.wav
14	14	motor/auditory	audio/Cumbish.wav
